TRANSACTION_ID,CUSTOMER_ID,VEHICLE_MODEL,VEHICLE_YEAR,PURCHASE_DATE,SALE_PRICE_GBP,DEALERSHIP_LOCATION,SALES_AGENT,PURCHASE_TYPE,DELIVERY_DATE,MILEAGE_AT_PURCHASE,VEHICLE_STATUS,CURRENT_MILEAGE,LAST_SERVICE_DATE
TXN001,CUST14378,Polar 4x4,2023,2024-01-15,42500,Belfast,Sarah McKenzie,New,2024-01-20,0,Owned,8500,2025-02-15
TXN002,CUST06871,Blizzard SUV,2024,2024-02-20,68000,London,James Wilson,New,2024-02-25,0,Owned,6200,2025-03-10
TXN003,CUST08331,Avalanche XTR,2024,2024-09-15,35000,Manchester,James Wilson,New,2024-09-20,0,Owned,3200,2024-12-10
TXN004,CUST07689,Glacier Sedan,2022,2024-04-12,38500,Belfast,James Murray,New,2024-04-15,0,Owned,12500,2025-01-20
TXN005,CUST11321,Tundra Truck,2025,2025-03-10,41000,Belfast,Sales Team,New,2025-03-15,0,Owned,1200,Pending
TXN006,CUST08778,Frostbite EV,2022,2022-03-07,49500,Edinburgh,SnowMobile Support,New,2022-03-12,0,Owned,18500,2024-11-15
TXN007,CUST13901,Avalanche XTR,2024,2024-07-20,98000,London,Sarah McKenzie,New,2024-07-25,0,Owned,5800,2025-01-15
TXN008,CUST07455,Polar 4x4,2021,2021-11-15,44500,Birmingham,Mark Thompson,New,2021-11-20,0,Owned,24000,2024-08-20
TXN009,CUST09109,Glacier Sedan,2023,2022-12-05,52500,Edinburgh,James MacDonald,New,2022-12-10,0,Owned,15200,2025-02-10
TXN010,CUST06621,Frostbite EV,2023,2023-02-15,39000,Belfast,SnowMobile Support,New,2023-02-20,0,Owned,12800,2024-10-05
TXN011,CUST08567,Blizzard SUV,2021,2021-07-25,54000,Edinburgh,James Wilson,New,2021-07-30,0,Owned,28500,2024-12-15
TXN012,CUST13789,None,0,0,0,Belfast,Edward Cooper,Prospect,0,0,Prospect,0,0
TXN013,CUST07022,Tundra Truck,2023,2023-03-10,56000,Cardiff,SnowMobile Support,New,2023-03-15,0,Owned,14200,2025-01-20
TXN014,CUST09421,Polar 4x4,2024,2024-01-20,0,Manchester,SnowMobile Support,Prospect,0,0,Prospect,0,0
TXN015,CUST14218,None,0,0,0,Edinburgh,SnowMobile Sales,Student Prospect,0,0,Prospect,0,0
TXN016,CUST06775,Tundra Truck,2022,2022-06-10,46500,Belfast,James McKinnon,New,2022-06-15,0,Owned,19500,2024-09-20
TXN017,CUST08932,Glacier Sedan,2021,2021-03-20,41500,Birmingham,Mark Thompson,New,2021-03-25,0,Owned,32000,2024-08-10
TXN018,CUST07346,Frostbite EV,2024,2024-02-15,48000,Edinburgh,James Morgan,New,2024-02-20,0,Owned,7200,2024-12-05
TXN019,CUST08267,Blizzard SUV,2022,2022-11-15,52000,Belfast,James Murphy,New,2022-11-20,0,Owned,16800,2024-11-10
TXN020,CUST06829,Glacier Sedan,2023,2023-07-10,36500,Edinburgh,SnowMobile Support,New,2023-07-15,0,Owned,9500,2024-10-20
